SENTENCE,LABEL
CONCLUSION: Our present study indicated that miR-423-5p acted as a tumor suppressor gene in osteosarcoma partly through inhibiting STMN1 expression.,1
"Moreover, SPAG5 was identified as a direct target of miR-363, and the reintroduction of SPAG5 restored miR-363-induced effects.",1
"However, it remains unclear how miR-182 regulates LPL and atherogenesis.",1
Gene regulation by antitumor miR-130b-5p in pancreatic ductal adenocarcinoma: the clinical significance of oncogenic EPS8.,0
"Mechanistically, EVs carried miR-106a-5p into other OC cells, inhibited KLF6, reduced the binding of KLF6 to the PTTG1 promoter, and upregulated PTTG1 transcription.",0
"In conclusion, hsa_circRNA_002144 could sponge miR-615-5p to promote CRC progression through the regulation of LARP1, providing a therapeutic target for cancer intervention.",1
Our results provide a novel mechanism governing c-Myc and miR-200c expression and indicate that either targeting c-Myc or restoring miR-200c expression would be a promising approach to overcome oncogenic role of c-Myc in NPC.,0
"QRT-PCR data showed that circ-HIPK3 and STAT3 are highly expressed, whereas miR-124-3p is lowly expressed in glioma cells than those of negative control cell.",0
"In conclusion, these results demonstrated that miR-182 promoted GIST cell growth by negatively regulating CYLD expression.",1
"Furthermore, we show that ectopic expression of miR-122 and miR-1, a known regulator of G6PD expression coordinately repress G6PD expression in HCC cells.",1
Long noncoding RNA NEAT1 promotes laryngeal squamous cell cancer through regulating miR-107/CDK6 pathway.,1
MicroRNA-182 Promotes Lipoprotein Lipase Expression and Atherogenesisby Targeting Histone Deacetylase 9 in Apolipoprotein E-Knockout Mice.,1
"DMSO,puerarin,puerarin+NC inhibitor,puerarin+miR-490 inhibitor,puerarin+miR-490 inhibitor+Si-NC,and puerarin+miR-490 inhibitor+Si-DTL.Transwell was used to detect cell migration and invasion.",0
Deregulation of miR-324/KISS1/kisspeptin in early ectopic pregnancy: mechanistic findings with clinical and diagnostic implications.,1
"Our finding indicated that RiPerC inhibited the MCAO-induced expression of PIK3IP1 through upregulated miR-98, thereby reducing the apoptosis induced by PIK3IP1 through the PI3K/AKT signaling pathway, thus reducing the cerebral ischemia-reperfusion injury.",0
"CONCLUSION: These results indicate that hypoxia-inducible miR-224 promotes gastric cancer cell growth, migration and invasion by downregulating RASSF8 and acts as an oncogene, implying that inhibition of miR-224 may have potential as a therapeutic target for patients with hypoxic gastric tumors.",1
In vivo experiment showed that miR-30e overexpression significantly inhibited tumor growth and decreased RPS6KB1 expression in xenografts.,1
"Under X-ray irradiation, overexpressed PTPRG antisense RNA 1 could promote the viability and enhance the radioresistance of nonsmall cell lung cancer cells, and this effect was partially weakened by miR-200c-3p mimics.",0
MicroRNA-522 reverses drug resistance of doxorubicin-induced HT29 colon cancer cell by targeting ABCB5.,1
"Furthermore, miR-210 was shown to bind to the predicted target sites of ephrin-A3 or neuronal pentraxin 1, causing repression in luciferase reporter activity.",0
"In comparison to EpCAM-positive fetal hepatocytes, EpCAM-positive HCC cells exhibited downregulation of miR-126, miR-144, and miR-451.",0
Over-expression of miR-410 had a greater repression on VEGF expression than other candidate VEGF-targeting miRNAs.,1
Transfection experiments were performed with synthetic miRNA mimics for miR-369-3p and small interfering RNAs for TSPAN13.,0
"To our knowledge, this is the first report to show miR-210 regulatory effects on cell migration, invasive potential, and HIF1a protein in RCC cells.",1
Our findings suggest a therapeutic potential of miR-195 in both ER-positive as well as ER-negative breast cancer cells.,0
"Treatment with a specific inhibitor of miR-487b function also resulted in increased levels of IL-33 mRNA, which augmented LPS-induced expression of these inflammatory mediators in macrophages.",1
"This is the first study that examined relationship among miR-21, TIMP-3 mRNA and TIPM-3 protein levels in BC groups formed according to invasiveness.",0
